"Sequence ID (GISAID EPI-ISL)"	"Authors"	"Originating laboratory"	"Submitting laboratory"
"EPI_ISL_3355601"	"Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah, Carlos F. Arias, Santiago Ávila-Ríos, Eduardo Becerril-Vargas, Víctor Hugo Borja-Aburto, Celia Boukadida, Cristóbal Cháidez-Quiróz, Juan Bautista Chale-Dzul, Ricardo Ciria Merce, Andreu Comas-García, Célida Duque Molina, Julissa Enciso-Ibarra, José Antonio Enciso-Moreno, Gloria Elena Espinosa-Ayala, Fernando Fontove-Herrera, Daniel Fregoso-Rueda, Victor Eduardo García-Arias, Alejandra García-Gasca, Bruno Gómez-Gil, Jean Pierre González, Irvin González-López, Concepción Grajales-Muñiz, Ricardo Grande, Rosa María Gutiérrez Rios, Jesús Hernández, Alejandra Hernández-Terán, Alfredo Herrera-Estrella, Carla Ivón Herrera-Najera, Pavel Isa, Verónica Mata-Haro, Daniel Lira Morales, Susana Lopez, Antonio Loza Román, Brenda Irasema Maldonado-Meza, Bernardo Martínez-Miguel, José Arturo Martínez-Orozco, Célida Martínez- Rodríguez, Margarita Matías-Florentino, Fidencio Mejía-Nepomuceno, María Guadalupe de Jesús Mireles-Rivera, Gloria María Molina-Salinas, Hector Montoya-Fuentes, , Mario Mújica-Sánchez, José Esteban Muñoz-Medina, José de Jesús Nuñez-Contreras, Alicia Ocaña-Mondragón, Luis Alberto Ochoa-Carrera, Hector Esteban Paz-Juárez, Marissa Perez-Garcia, Francisco Pulido, Helen Haydee Fernanda Ramírez-Plascencia, Jorge Salas-Hernández, Angel Gustavo Salas-Lais, Alejandro Sánchez-Flores, Clara Esperanza Santacruz-Tinoco, María Guadalupe Santiago-Mauricio, Selene Zárate, Nelly Sélem-Mojica, Blanca Taboada, Gloria Vazquez, Joel Armando Vázquez-Pérez."	"Unidad de Investigación Biomédica de Zacatecas (UIBZ)"	"Instituto de Biotecnología de la UNAM"
"EPI_ISL_3355602"	"Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah, Carlos F. Arias, Santiago Ávila-Ríos, Eduardo Becerril-Vargas, Víctor Hugo Borja-Aburto, Celia Boukadida, Cristóbal Cháidez-Quiróz, Juan Bautista Chale-Dzul, Ricardo Ciria Merce, Andreu Comas-García, Célida Duque Molina, Julissa Enciso-Ibarra, José Antonio Enciso-Moreno, Gloria Elena Espinosa-Ayala, Fernando Fontove-Herrera, Daniel Fregoso-Rueda, Victor Eduardo García-Arias, Alejandra García-Gasca, Bruno Gómez-Gil, Jean Pierre González, Irvin González-López, Concepción Grajales-Muñiz, Ricardo Grande, Rosa María Gutiérrez Rios, Jesús Hernández, Alejandra Hernández-Terán, Alfredo Herrera-Estrella, Carla Ivón Herrera-Najera, Pavel Isa, Verónica Mata-Haro, Daniel Lira Morales, Susana Lopez, Antonio Loza Román, Brenda Irasema Maldonado-Meza, Bernardo Martínez-Miguel, José Arturo Martínez-Orozco, Célida Martínez- Rodríguez, Margarita Matías-Florentino, Fidencio Mejía-Nepomuceno, María Guadalupe de Jesús Mireles-Rivera, Gloria María Molina-Salinas, Hector Montoya-Fuentes, , Mario Mújica-Sánchez, José Esteban Muñoz-Medina, José de Jesús Nuñez-Contreras, Alicia Ocaña-Mondragón, Luis Alberto Ochoa-Carrera, Hector Esteban Paz-Juárez, Marissa Perez-Garcia, Francisco Pulido, Helen Haydee Fernanda Ramírez-Plascencia, Jorge Salas-Hernández, Angel Gustavo Salas-Lais, Alejandro Sánchez-Flores, Clara Esperanza Santacruz-Tinoco, María Guadalupe Santiago-Mauricio, Selene Zárate, Nelly Sélem-Mojica, Blanca Taboada, Gloria Vazquez, Joel Armando Vázquez-Pérez."	"Unidad de Investigación Biomédica de Zacatecas (UIBZ)"	"Instituto de Biotecnología de la UNAM"
"EPI_ISL_3355603"	"Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah, Carlos F. Arias, Santiago Ávila-Ríos, Eduardo Becerril-Vargas, Víctor Hugo Borja-Aburto, Celia Boukadida, Cristóbal Cháidez-Quiróz, Juan Bautista Chale-Dzul, Ricardo Ciria Merce, Andreu Comas-García, Célida Duque Molina, Julissa Enciso-Ibarra, José Antonio Enciso-Moreno, Gloria Elena Espinosa-Ayala, Fernando Fontove-Herrera, Daniel Fregoso-Rueda, Victor Eduardo García-Arias, Alejandra García-Gasca, Bruno Gómez-Gil, Jean Pierre González, Irvin González-López, Concepción Grajales-Muñiz, Ricardo Grande, Rosa María Gutiérrez Rios, Jesús Hernández, Alejandra Hernández-Terán, Alfredo Herrera-Estrella, Carla Ivón Herrera-Najera, Pavel Isa, Verónica Mata-Haro, Daniel Lira Morales, Susana Lopez, Antonio Loza Román, Brenda Irasema Maldonado-Meza, Bernardo Martínez-Miguel, José Arturo Martínez-Orozco, Célida Martínez- Rodríguez, Margarita Matías-Florentino, Fidencio Mejía-Nepomuceno, María Guadalupe de Jesús Mireles-Rivera, Gloria María Molina-Salinas, Hector Montoya-Fuentes, , Mario Mújica-Sánchez, José Esteban Muñoz-Medina, José de Jesús Nuñez-Contreras, Alicia Ocaña-Mondragón, Luis Alberto Ochoa-Carrera, Hector Esteban Paz-Juárez, Marissa Perez-Garcia, Francisco Pulido, Helen Haydee Fernanda Ramírez-Plascencia, Jorge Salas-Hernández, Angel Gustavo Salas-Lais, Alejandro Sánchez-Flores, Clara Esperanza Santacruz-Tinoco, María Guadalupe Santiago-Mauricio, Selene Zárate, Nelly Sélem-Mojica, Blanca Taboada, Gloria Vazquez, Joel Armando Vázquez-Pérez."	"Centro de Investigación Biomédica del Noreste (CIBIN)"	"Instituto de Biotecnología de la UNAM"
"EPI_ISL_3355604"	"Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah, Carlos F. Arias, Santiago Ávila-Ríos, Eduardo Becerril-Vargas, Víctor Hugo Borja-Aburto, Celia Boukadida, Cristóbal Cháidez-Quiróz, Juan Bautista Chale-Dzul, Ricardo Ciria Merce, Andreu Comas-García, Célida Duque Molina, Julissa Enciso-Ibarra, José Antonio Enciso-Moreno, Gloria Elena Espinosa-Ayala, Fernando Fontove-Herrera, Daniel Fregoso-Rueda, Victor Eduardo García-Arias, Alejandra García-Gasca, Bruno Gómez-Gil, Jean Pierre González, Irvin González-López, Concepción Grajales-Muñiz, Ricardo Grande, Rosa María Gutiérrez Rios, Jesús Hernández, Alejandra Hernández-Terán, Alfredo Herrera-Estrella, Carla Ivón Herrera-Najera, Pavel Isa, Verónica Mata-Haro, Daniel Lira Morales, Susana Lopez, Antonio Loza Román, Brenda Irasema Maldonado-Meza, Bernardo Martínez-Miguel, José Arturo Martínez-Orozco, Célida Martínez- Rodríguez, Margarita Matías-Florentino, Fidencio Mejía-Nepomuceno, María Guadalupe de Jesús Mireles-Rivera, Gloria María Molina-Salinas, Hector Montoya-Fuentes, , Mario Mújica-Sánchez, José Esteban Muñoz-Medina, José de Jesús Nuñez-Contreras, Alicia Ocaña-Mondragón, Luis Alberto Ochoa-Carrera, Hector Esteban Paz-Juárez, Marissa Perez-Garcia, Francisco Pulido, Helen Haydee Fernanda Ramírez-Plascencia, Jorge Salas-Hernández, Angel Gustavo Salas-Lais, Alejandro Sánchez-Flores, Clara Esperanza Santacruz-Tinoco, María Guadalupe Santiago-Mauricio, Selene Zárate, Nelly Sélem-Mojica, Blanca Taboada, Gloria Vazquez, Joel Armando Vázquez-Pérez."	"Centro de Investigación Biomédica del Noreste (CIBIN)"	"Instituto de Biotecnología de la UNAM"
"EPI_ISL_3358455"	"Ashleigh Murphy Schafer, Brett Austin"	"San Diego County Public Health Laboratory"	"San Diego County Public Health Laboratory"
"EPI_ISL_3358456"	"Ashleigh Murphy Schafer, Brett Austin"	"San Diego County Public Health Laboratory"	"San Diego County Public Health Laboratory"
"EPI_ISL_3371417"	"Cedro-Tanda A, Cisneros-Villanueva M, Blancas S, Escobar-Arrazola MA, Ramirez-Vega O, Abraham Campos-Romero, Moreno-Camacho José Luis, Rodriguez-Gallegos Jorge, Luna-Ruiz Marco, Rangel-DeLeon D, Munguia-Garza P, Hidalgo-Miranda A, Mendoza-Vargas A, Reyes-Grajeda JP, Herrera-Montalvo LA."	"Salud Digna"	"Instituto Nacional de Medicina Genomica"
"EPI_ISL_3371420"	"Cedro-Tanda A, Cisneros-Villanueva M, Blancas S, Escobar-Arrazola MA, Ramirez-Vega O, Abraham Campos-Romero, Moreno-Camacho José Luis, Rodriguez-Gallegos Jorge, Luna-Ruiz Marco, Rangel-DeLeon D, Munguia-Garza P, Hidalgo-Miranda A, Mendoza-Vargas A, Reyes-Grajeda JP, Herrera-Montalvo LA."	"Salud Digna"	"Instituto Nacional de Medicina Genomica"
"EPI_ISL_3371426"	"Cedro-Tanda A, Cisneros-Villanueva M, Blancas S, Escobar-Arrazola MA, Ramirez-Vega O, Rangel-DeLeon D, Munguia-Garza P, Hidalgo-Miranda A, Mendoza-Vargas A, Reyes-Grajeda JP, Herrera-Montalvo LA."	"INCMNSZ"	"Instituto Nacional de Medicina Genomica"
"EPI_ISL_3372679"	"Deborah A. Nickerson, Chris D. Frazar, Jover Lee, Benjamin Pelle, Erica Ryke, Matthew Richardson, Amanda Adler, Elisabeth Brandstetter, Peter D. Han, Kairsten Fay, Misja Ilcisin, Kirsten Lacombe, Thomas R. Sibley, Melissa Truong, Caitlin R. Wolf, Karen Cowgill, Stephanie Schrag, Jeff Duchin, Michael Boeckh, Janet A. Englund, Michael Famulare, Barry R. Lutz, Mark J. Rieder, Lea M. Starita, Matthew Thompson, Helen Y. Chu, Trevor Bedford, Jay Shendure"	"Seattle Flu Study"	"Seattle Flu Study"
"EPI_ISL_3373122"	"C. Paul Morris, Chun Huai Luo, David Gaston, Julie M. Norton, Matthew Schwartz, Heba H. Mostafa"	"Johns Hopkins Hospital Department of Pathology"	"Johns Hopkins Hospital Department of Pathology"
"EPI_ISL_3373123"	"C. Paul Morris, Chun Huai Luo, David Gaston, Julie M. Norton, Matthew Schwartz, Heba H. Mostafa"	"Johns Hopkins Hospital Department of Pathology"	"Johns Hopkins Hospital Department of Pathology"
"EPI_ISL_3374554"	"Jeffery Whitman, Sabrina Mann, Anthea Mitchell, Matthias Hapte-Selassie, Jamin Liu, Sara Sunshine, Matthew Laurie, Genay Pilarowski, Amy Kistler, Manu Vanaerschot, Patrick Ayscue, Lucy Li, Eric Chow, IDseq Team, James Peng, Carina Marquez, Luis Rubio, Gabriel Chamie, Diane Jones, Jon Jacobo, Susana Rojas, Susy Rojas, Valerie Tulier-Laiwa, Douglas Black, Jackie Martinez, Maya Petersen, Diane Havlir, and Joseph DeRisi"	"Zuckerberg San Francisco General Hospital"	"DeRisi Lab, University of California, San Francisco"
"EPI_ISL_3383980"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Karen Bobier, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"TXDSHS"	"TXDSHS"
"EPI_ISL_3383990"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Karen Bobier, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"TXDSHS"	"TXDSHS"
"EPI_ISL_3384036"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Karen Bobier, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"TXDSHS"	"TXDSHS"
"EPI_ISL_3384039"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Karen Bobier, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"TXDSHS"	"TXDSHS"
"EPI_ISL_3384046"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Karen Bobier, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"TXDSHS"	"TXDSHS"
"EPI_ISL_3384052"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Karen Bobier, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"TXDSHS"	"TXDSHS"
"EPI_ISL_3384059"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Karen Bobier, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"TXDSHS"	"TXDSHS"
"EPI_ISL_3384062"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Karen Bobier, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"TXDSHS"	"TXDSHS"
"EPI_ISL_3384066"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Karen Bobier, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"TXDSHS"	"TXDSHS"
"EPI_ISL_3384073"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Karen Bobier, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"TXDSHS"	"TXDSHS"
"EPI_ISL_3384077"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Karen Bobier, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"TXDSHS"	"TXDSHS"
"EPI_ISL_3384082"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Karen Bobier, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"TXDSHS"	"TXDSHS"
"EPI_ISL_3384086"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Karen Bobier, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"TXDSHS"	"TXDSHS"
"EPI_ISL_3384088"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Karen Bobier, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"TXDSHS"	"TXDSHS"
"EPI_ISL_3384095"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Karen Bobier, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"TXDSHS"	"TXDSHS"
"EPI_ISL_3384120"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Karen Bobier, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"TXDSHS"	"TXDSHS"
"EPI_ISL_3384122"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Karen Bobier, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"TXDSHS"	"TXDSHS"
"EPI_ISL_3384125"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Karen Bobier, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"TXDSHS"	"TXDSHS"
"EPI_ISL_3384127"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Karen Bobier, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"TXDSHS"	"TXDSHS"
"EPI_ISL_3384129"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Karen Bobier, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"TXDSHS"	"TXDSHS"
"EPI_ISL_3384131"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Karen Bobier, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"TXDSHS"	"TXDSHS"
"EPI_ISL_3384133"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Karen Bobier, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"TXDSHS"	"TXDSHS"
"EPI_ISL_3384135"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Karen Bobier, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"TXDSHS"	"TXDSHS"
"EPI_ISL_3384138"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Karen Bobier, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"TXDSHS"	"TXDSHS"
"EPI_ISL_3384139"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Karen Bobier, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"TXDSHS"	"TXDSHS"
"EPI_ISL_3384142"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Karen Bobier, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"TXDSHS"	"TXDSHS"
"EPI_ISL_3384144"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Karen Bobier, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"TXDSHS"	"TXDSHS"
"EPI_ISL_3387514"	"Lindsey Bodnar, Shiv K. Verma, Ryan Pachucki, Chelsea San Filippo, Jacquelyn Deverell, Dana Woell, Allison Roder, Byeong Jeong"	"NJDOH, Public Health and Environmental Laboratories"	"NJ_PHEL"
"EPI_ISL_3388862"	"Ashleigh Murphy Schafer, Brett Austin"	"San Diego County Public Health Laboratory"	"San Diego County Public Health Laboratory"
"EPI_ISL_3388868"	"Ashleigh Murphy Schafer, Brett Austin"	"San Diego County Public Health Laboratory"	"San Diego County Public Health Laboratory"
"EPI_ISL_3391650"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Karen Bobier, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"TXDSHS"	"TXDSHS"
"EPI_ISL_3391651"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Karen Bobier, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"TXDSHS"	"TXDSHS"
"EPI_ISL_3391652"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Karen Bobier, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"TXDSHS"	"TXDSHS"
"EPI_ISL_3391653"	"Rashmi Tuladhar, Bonnie Oh, Jenny Zhang, Maliha Rahman, Mayela Pedrueza, Anita Pokharel, Karen Bobier, Lorraine Rodriguez, Myong Koag, Chun Wang, Rachel Lee, Grace Kubin"	"TXDSHS"	"TXDSHS"
"EPI_ISL_3392711"	"Alexandra Lorentz, Jacob Garfin, Matt Plumb, and Xiong Wang"	"Minnesota Department of Health, Public Health Laboratory"	"Minnesota Department of Health, Public Health Laboratory"
"EPI_ISL_3394119"	"Robert Moller, Bijaya Dhakal, Krishna Maddula, John Woody, Cora Lahey, Ellen Pizarek"	"Sonic Reference Laboratory"	"Sonic Reference Laboratory"
"EPI_ISL_3394229"	"Henry Lee, Michael Hammerling, Melissa Hopkins, Cybill del Castillo, Shinyoung Clair Kang, William Ward, Pradeep Bugga, Sol Rey, Dylan Law, Alex Carpio, Isabel Fernandez Escapa, Haiping Hao, Jon Laurent"	"Pandemic Response Lab - NYC"	"Pandemic Response Lab, R&D"
"EPI_ISL_3395729"	"Dakota Howard, Dhwani Batra, Peter W. Cook, Kara Moser, Adrian Paskey, Jason Caravas, Benjamin Rambo-Martin, Shatavia Morrison, Christopher Gulvick, Scott Sammons, Yvette Unoarumhi, Darlene Wagner, Matthew Schmerer, S. H. Rosenthal, A. Gerasimova, R. M. Kagan, B. Anderson, M. Hua, Y. Liu, L.E. Bernstein, K.E. Livingston, A. Perez, I. A. Shlyakhter, R. V. Rolando, R. Owen, P. Tanpaiboon, F. Lacbawan, Clinton R. Paden, Duncan MacCannell"	"Quest Diagnostics Incorporated"	"Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery"
"EPI_ISL_3396372"	"Dakota Howard, Dhwani Batra, Peter W. Cook, Kara Moser, Adrian Paskey, Jason Caravas, Benjamin Rambo-Martin, Shatavia Morrison, Christopher Gulvick, Scott Sammons, Yvette Unoarumhi, Darlene Wagner, Matthew Schmerer, S. H. Rosenthal, A. Gerasimova, R. M. Kagan, B. Anderson, M. Hua, Y. Liu, L.E. Bernstein, K.E. Livingston, A. Perez, I. A. Shlyakhter, R. V. Rolando, R. Owen, P. Tanpaiboon, F. Lacbawan, Clinton R. Paden, Duncan MacCannell"	"Quest Diagnostics Incorporated"	"Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery"
"EPI_ISL_3396739"	"Dakota Howard, Dhwani Batra, Peter W. Cook, Kara Moser, Adrian Paskey, Jason Caravas, Benjamin Rambo-Martin, Shatavia Morrison, Christopher Gulvick, Scott Sammons, Yvette Unoarumhi, Darlene Wagner, Matthew Schmerer, S. H. Rosenthal, A. Gerasimova, R. M. Kagan, B. Anderson, M. Hua, Y. Liu, L.E. Bernstein, K.E. Livingston, A. Perez, I. A. Shlyakhter, R. V. Rolando, R. Owen, P. Tanpaiboon, F. Lacbawan, Clinton R. Paden, Duncan MacCannell"	"Quest Diagnostics Incorporated"	"Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery"
"EPI_ISL_3396877"	"Dakota Howard, Dhwani Batra, Peter W. Cook, Kara Moser, Adrian Paskey, Jason Caravas, Benjamin Rambo-Martin, Shatavia Morrison, Christopher Gulvick, Scott Sammons, Yvette Unoarumhi, Darlene Wagner, Matthew Schmerer, S. H. Rosenthal, A. Gerasimova, R. M. Kagan, B. Anderson, M. Hua, Y. Liu, L.E. Bernstein, K.E. Livingston, A. Perez, I. A. Shlyakhter, R. V. Rolando, R. Owen, P. Tanpaiboon, F. Lacbawan, Clinton R. Paden, Duncan MacCannell"	"Quest Diagnostics Incorporated"	"Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery"
"EPI_ISL_3396941"	"Dakota Howard, Dhwani Batra, Peter W. Cook, Kara Moser, Adrian Paskey, Jason Caravas, Benjamin Rambo-Martin, Shatavia Morrison, Christopher Gulvick, Scott Sammons, Yvette Unoarumhi, Darlene Wagner, Matthew Schmerer, S. H. Rosenthal, A. Gerasimova, R. M. Kagan, B. Anderson, M. Hua, Y. Liu, L.E. Bernstein, K.E. Livingston, A. Perez, I. A. Shlyakhter, R. V. Rolando, R. Owen, P. Tanpaiboon, F. Lacbawan, Clinton R. Paden, Duncan MacCannell"	"Quest Diagnostics Incorporated"	"Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery"
"EPI_ISL_3403271"	"Fatma Bayrakdar, Yasemin Cosgun, Suleyman Yalcin, Gulay Korukluoglu"	"Ministry of Health Turkey"	"Ministry of Health Turkey"
"EPI_ISL_3403332"	"Fatma Bayrakdar, Yasemin Cosgun, Suleyman Yalcin, Gulay Korukluoglu"	"Ministry of Health Turkey"	"Ministry of Health Turkey"
"EPI_ISL_3403882"	"Laura Bankers, Molly C. Hetherington-Rauth, Diana Ir, Alexandria Rossheim, Michael Martin, Mandy Waters, Shannon R. Matzinger, Sarah Elizabeth Totten, Emily A. Travanty"	"Colorado Department of Public Health and Environment"	"Colorado Department of Public Health and Environment"
"EPI_ISL_3403883"	"Laura Bankers, Molly C. Hetherington-Rauth, Diana Ir, Alexandria Rossheim, Michael Martin, Mandy Waters, Shannon R. Matzinger, Sarah Elizabeth Totten, Emily A. Travanty"	"Colorado Department of Public Health and Environment"	"Colorado Department of Public Health and Environment"
"EPI_ISL_3407875"	"Siddle,K.J., Adams,G., Pearlman,L., Gladden-Young,A., Vicente,G., Blumenstiel,B., DeFelice,M., Lee,M., McGovern,S., Lagerborg,K., Rudy,M., DeRuff,K., Carter,A., Normandin,E., Bauer,M., Reilly,S., Tomkins-Tinch,C., Loreth,C., Chaluvadi,S., Meldrim,J., Granger,B., Lemieux,J.E., Birren,B.W., Sabeti,P.C., Larkin,K., Dodge,S., Lennon,N., Madoff,L., Brown,C., Gallagher,G., Smole,S., Park,D.J., Gabriel,S., and MacInnis,B.L."	"Broad Institute Clinical Research Sequencing Platform"	"Infectious Disease Program, Broad Institute of Harvard and MIT"
"EPI_ISL_3407879"	"Siddle,K.J., Adams,G., Pearlman,L., Gladden-Young,A., Vicente,G., Blumenstiel,B., DeFelice,M., Lee,M., McGovern,S., Lagerborg,K., Rudy,M., DeRuff,K., Carter,A., Normandin,E., Bauer,M., Reilly,S., Tomkins-Tinch,C., Loreth,C., Chaluvadi,S., Meldrim,J., Granger,B., Lemieux,J.E., Birren,B.W., Sabeti,P.C., Larkin,K., Dodge,S., Lennon,N., Madoff,L., Brown,C., Gallagher,G., Smole,S., Park,D.J., Gabriel,S., and MacInnis,B.L."	"Broad Institute Clinical Research Sequencing Platform"	"Infectious Disease Program, Broad Institute of Harvard and MIT"
"EPI_ISL_3407881"	"Siddle,K.J., Adams,G., Pearlman,L., Gladden-Young,A., Vicente,G., Blumenstiel,B., DeFelice,M., Lee,M., McGovern,S., Lagerborg,K., Rudy,M., DeRuff,K., Carter,A., Normandin,E., Bauer,M., Reilly,S., Tomkins-Tinch,C., Loreth,C., Chaluvadi,S., Meldrim,J., Granger,B., Lemieux,J.E., Birren,B.W., Sabeti,P.C., Larkin,K., Dodge,S., Lennon,N., Madoff,L., Brown,C., Gallagher,G., Smole,S., Park,D.J., Gabriel,S., and MacInnis,B.L."	"Broad Institute Clinical Research Sequencing Platform"	"Infectious Disease Program, Broad Institute of Harvard and MIT"
